,precision,recall,f1-score,support
background,0.9931878169165671,0.9873410120327584,0.9902557841717735,6294816.0
liver,0.8571897094007903,0.9181671939308311,0.8866312668398657,520928.0
accuracy,0.9820540501521184,0.9820540501521184,0.9820540501521184,0.9820540501521184
macro avg,0.9251887631586787,0.9527541029817947,0.9384435255058197,6815744.0
weighted avg,0.982793467869423,0.9820540501521184,0.9823357518811423,6815744.0
